,Unnamed: 0,place,time,pace,age,gender,location,state,divPlace,divTot
70,70,5715,100.35,10.035,33.0,M,Arlington VA,VA,1223.0,1490.0
71,71,6956,106.32,10.632,28.0,F,Boston MA,MA,2120.0,2782.0
72,72,5843,101.35,10.135,23.0,M,Washington DC,DC,301.0,347.0
73,73,5625,99.65,9.965,47.0,M,Fairfax Station VA,VA,488.0,648.0
74,74,835,79.75,7.975,16.0,F,Washington DC,DC,7.0,83.0
75,75,7841,111.15,11.115,29.0,F,Export PA,PA,2342.0,2782.0
76,76,7371,108.28,10.828,18.0,F,Fairfax VA,VA,66.0,83.0
77,77,6571,110.08,11.008,44.0,M,Upper Marlboro MD,MD,854.0,931.0
78,78,5903,101.87,10.187,27.0,F,Durham NC,NC,1798.0,2782.0
79,79,8990,120.68,12.068,46.0,F,Burke VA,VA,499.0,554.0
80,80,130,68.55,6.855,33.0,F,Washington DC,DC,35.0,2228.0
81,81,4809,97.83,9.783,31.0,F,Chantilly VA,VA,1070.0,2228.0
82,82,6737,113.65,11.365,41.0,M,Herndon VA,VA,880.0,931.0
83,83,5480,98.4,9.84,26.0,M,Bethesda MD,MD,1157.0,1457.0
84,84,5558,100.6,10.06,30.0,F,Ashburn VA,VA,1236.0,2228.0
85,85,3414,86.53,8.652999999999999,65.0,M,Burke VA,VA,16.0,79.0
86,86,4782,97.73,9.773,31.0,F,Atlanta GA,GA,1065.0,2228.0
87,87,2049,78.9,7.89,62.0,M,West Chester PA,PA,26.0,196.0
88,88,4134,90.25,9.025,38.0,M,New York NY,NY,642.0,1093.0
89,89,2413,81.0,8.1,36.0,M,Washington DC,DC,351.0,1093.0
90,90,4034,89.7,8.97,37.0,M,Boyds MD,MD,625.0,1093.0
91,91,993,71.93,7.193,27.0,M,Arlington VA,VA,238.0,1457.0
92,92,3619,93.87,9.387,26.0,F,Durham NC,NC,1113.0,2782.0
93,93,7557,109.3,10.93,25.0,F,Kennesaw GA,GA,2281.0,2782.0
94,94,5918,101.95,10.195,57.0,F,Arlington VA,VA,102.0,236.0
95,95,6226,103.22,10.322,40.0,F,Reston VA,VA,593.0,974.0
96,96,470,75.93,7.593,33.0,F,Centreville VA,VA,103.0,2228.0
97,97,6901,118.18,11.818,30.0,M,Fairfax VA,VA,1434.0,1490.0
98,98,6452,104.1,10.41,35.0,F,Ashburn VA,VA,870.0,1367.0
99,99,2987,91.43,9.143,32.0,F,Philadelphia PA,PA,652.0,2228.0
100,100,3824,94.58,9.458,57.0,F,Dumfries VA,VA,59.0,236.0
101,101,5942,102.37,10.237,30.0,M,Bethesda MD,MD,1265.0,1490.0
102,102,4547,92.52,9.252,36.0,M,Silver Spring MD,MD,701.0,1093.0
103,103,9506,131.33,13.133,55.0,F,Woodbridge VA,VA,229.0,236.0
104,104,3464,93.32,9.332,27.0,F,Arlington VA,VA,1081.0,2782.0
105,105,9711,145.67,14.567,33.0,F,Herndon VA,VA,2223.0,2228.0
106,106,2176,79.57,7.957000000000002,28.0,M,Washington DC,DC,521.0,1457.0
107,107,849,79.83,7.983,32.0,F,Bethesda MD,MD,194.0,2228.0
108,108,8348,114.67,11.467,45.0,F,Sykesville MD,MD,466.0,554.0
109,109,2877,90.98,9.098,43.0,F,Arlington VA,VA,273.0,974.0
110,110,9222,124.37,12.437,31.0,F,Washington DC,DC,2091.0,2228.0
111,111,5112,98.93,9.893,29.0,F,Washington DC,DC,1580.0,2782.0
112,112,5998,102.9,10.29,57.0,M,Woodbridge VA,VA,297.0,375.0
113,113,62,64.77,6.477,43.0,F,Arlington VA,VA,4.0,974.0
114,114,2492,81.58,8.158,46.0,M,New York NY,NY,220.0,648.0
115,115,220,62.32,6.232,40.0,M,Milwaukee WI,WI,19.0,931.0
116,116,4836,97.92,9.792,40.0,F,Wall NJ,NJ,456.0,974.0
117,117,1735,77.2,7.72,60.0,M,Woodside CA,CA,20.0,196.0
118,118,309,73.48,7.348,26.0,F,Arlington VA,VA,111.0,2782.0
119,119,3565,93.72,9.372,44.0,F,Woodbridge VA,VA,334.0,974.0
120,120,9475,130.42,13.042,32.0,F,Edgewater MD,MD,2160.0,2228.0
121,121,1136,82.17,8.217,29.0,F,Reston VA,VA,366.0,2782.0
122,122,947,80.63,8.062999999999999,51.0,F,Washington DC,DC,29.0,397.0
123,123,2915,83.98,8.398,34.0,M,Silver Spring MD,MD,645.0,1490.0
124,124,5489,100.32,10.032,50.0,F,Centreville VA,VA,175.0,397.0
125,125,433,75.47,7.5470000000000015,24.0,F,Washington DC,DC,62.0,974.0
126,126,1395,84.05,8.405,43.0,F,Vienna VA,VA,135.0,974.0
127,127,3487,86.9,8.69,29.0,M,Baltimore MD,MD,776.0,1457.0
128,128,3841,88.67,8.867,42.0,M,Burke VA,VA,485.0,931.0
129,129,2813,90.7,9.07,25.0,F,Pittsburgh PA,PA,887.0,2782.0
130,130,2463,89.18,8.918,30.0,F,Alexandria VA,VA,547.0,2228.0
131,131,1295,74.33,7.433,57.0,M,Herndon VA,VA,47.0,375.0
132,132,597,68.07,6.807,25.0,M,Washington DC,DC,154.0,1457.0
133,133,3602,93.8,9.38,38.0,F,Fort Worth TX,TX,488.0,1367.0
134,134,8400,115.1,11.51,31.0,F,McLean VA,VA,1902.0,2228.0
135,135,2850,90.87,9.087,27.0,F,Arlington VA,VA,898.0,2782.0
136,136,2225,88.15,8.815,48.0,F,Mullicahills NJ,NJ,111.0,554.0
137,137,1639,85.47,8.547,30.0,F,Arlington VA,VA,364.0,2228.0
138,138,9344,127.2,12.72,30.0,F,Arlington VA,VA,2125.0,2228.0
139,139,1329,83.55,8.355,23.0,F,North Bethesda MD,MD,174.0,974.0
140,140,4268,96.07,9.607,26.0,F,Washington DC,DC,1313.0,2782.0
141,141,2904,91.08,9.108,30.0,F,Washington DC,DC,633.0,2228.0
142,142,4009,89.53,8.953,29.0,M,Washington DC,DC,879.0,1457.0
143,143,4333,91.38,9.138,55.0,M,Exeter NH,NH,189.0,375.0
144,144,5046,98.67,9.867,32.0,F,Arlington VA,VA,1120.0,2228.0
145,145,402,75.02,7.502000000000002,38.0,F,Manassas VA,VA,51.0,1367.0
146,146,2939,84.25,8.425,58.0,M,Berwyn PA,PA,117.0,375.0
147,147,5336,99.78,9.978,31.0,F,Arlington VA,VA,1192.0,2228.0
148,148,1762,77.37,7.737,53.0,M,Reston VA,VA,100.0,483.0
149,149,7311,107.95,10.795,29.0,F,New York NY,NY,2214.0,2782.0
150,150,3119,91.93,9.193,36.0,F,Chantilly VA,VA,410.0,1367.0
151,151,2154,87.88,8.788,28.0,F,Alexandria VA,VA,683.0,2782.0
152,152,5515,98.68,9.868,33.0,M,Wasington DC,DC,1178.0,1490.0
153,153,408,75.1,7.51,50.0,F,Arlington VA,VA,11.0,397.0
154,154,1201,82.63,8.263,26.0,F,Washington DC,DC,389.0,2782.0
155,155,3033,84.65,8.465,27.0,M,Arlington VA,VA,684.0,1457.0
156,156,1689,85.7,8.57,23.0,F,Washington DC,DC,222.0,974.0
157,157,1263,74.07,7.407,35.0,M,Fairfax VA,VA,190.0,1093.0
158,158,4657,93.2,9.32,32.0,M,Gaithersburg MD,MD,997.0,1490.0
159,159,3566,87.28,8.728,41.0,M,Madison WI,WI,460.0,931.0
160,160,4775,93.93,9.393,40.0,M,Alexandria VA,VA,628.0,931.0
161,161,7813,110.92,11.092,32.0,F,Arlington VA,VA,1758.0,2228.0
162,162,288,73.3,7.33,56.0,F,Potomac MD,MD,5.0,236.0
163,163,5882,101.8,10.18,41.0,F,Washington DC,DC,566.0,974.0
164,164,7568,109.43,10.943,44.0,F,Silver Spring MD,MD,736.0,974.0
165,165,6924,118.85,11.885,29.0,M,Washington DC,DC,1421.0,1457.0
166,166,1070,72.57,7.2570000000000014,43.0,M,Kensington MD,MD,115.0,931.0
167,167,5622,99.63,9.963,53.0,M,Vienna VA,VA,370.0,483.0
168,168,4935,98.28,9.828,30.0,F,Hardwick MA,MA,1105.0,2228.0
169,169,5657,99.92,9.992,36.0,M,Great Falls VA,VA,866.0,1093.0
170,170,3370,92.98,9.298,32.0,F,Washington DC,DC,726.0,2228.0
171,171,6891,106.02,10.602,22.0,F,Washington DC,DC,769.0,974.0
172,172,7150,107.3,10.73,25.0,F,Washington DC,DC,2177.0,2782.0
173,173,6556,109.8,10.98,45.0,M,Gainesville VA,VA,587.0,648.0
174,174,6374,107.33,10.733,66.0,M,Silver Spring MD,MD,53.0,79.0
175,175,7806,110.88,11.088,37.0,F,Alexandria VA,VA,1062.0,1367.0
176,176,3600,93.8,9.38,40.0,F,Silver Spring MD,MD,338.0,974.0
177,177,5219,99.33,9.933,27.0,F,Arlington VA,VA,1615.0,2782.0
178,178,2945,91.23,9.123,33.0,F,Ashburn VA,VA,644.0,2228.0
179,179,7931,111.75,11.175,33.0,F,Washington DC,DC,1780.0,2228.0
180,180,4919,94.82,9.482,62.0,M,Gaithersburg MD,MD,96.0,196.0
181,181,3203,85.45,8.545,44.0,M,Bethesda MD,MD,416.0,931.0
182,182,7649,109.93,10.993,53.0,F,Voorhees NJ,NJ,299.0,397.0
183,183,1235,82.87,8.287,36.0,F,Crofton MD,MD,152.0,1367.0
184,184,7490,108.93,10.893,20.0,F,Washington DC,DC,815.0,974.0
185,185,3167,85.27,8.527000000000001,30.0,M,Bethesda MD,MD,703.0,1490.0
186,186,5498,100.35,10.035,36.0,F,Oakton VA,VA,738.0,1367.0
187,187,4934,98.28,9.828,30.0,F,Washington DC,DC,1104.0,2228.0
188,188,8603,116.72,11.672,28.0,F,Santa Rosa CA,CA,2537.0,2782.0
189,189,1973,87.17,8.717,29.0,F,Washington DC,DC,631.0,2782.0
190,190,4719,97.53,9.753,29.0,F,Washington DC,DC,1470.0,2782.0
191,191,6508,109.12,10.912,47.0,M,Alexandria VA,VA,583.0,648.0
192,192,1688,76.85,7.685,36.0,M,Washington DC,DC,243.0,1093.0
193,193,8323,114.48,11.448,23.0,F,Washington DC,DC,887.0,974.0
194,194,4739,93.73,9.373,36.0,M,Bloomington IN,IN,736.0,1093.0
195,195,2688,90.18,9.018,31.0,F,Washington DC,DC,597.0,2228.0
196,196,1847,77.8,7.78,24.0,M,Washington DC,DC,112.0,347.0
197,197,6868,105.93,10.593,37.0,F,Fairfax VA,VA,930.0,1367.0
198,198,5319,97.33,9.733,30.0,M,Germantown MD,MD,1139.0,1490.0
199,199,5902,101.87,10.187,26.0,F,Arlington VA,VA,1797.0,2782.0
200,200,4474,92.17,9.217,48.0,M,Takoma Park MD,MD,392.0,648.0
201,201,3657,87.73,8.773,30.0,M,Washington DC,DC,807.0,1490.0
202,202,1450,84.37,8.437000000000001,27.0,F,Gastonia NC,NC,466.0,2782.0
203,203,4498,92.3,9.23,37.0,M,Rockville MD,MD,691.0,1093.0
204,204,3030,84.65,8.465,35.0,M,Springfield VA,VA,456.0,1093.0
205,205,1479,84.52,8.452,25.0,F,Washington DC,DC,476.0,2782.0
206,206,2217,88.12,8.812000000000003,34.0,F,Arlington VA,VA,492.0,2228.0
207,207,2160,79.45,7.945,66.0,M,Columbia MD,MD,7.0,79.0
208,208,4286,91.07,9.107,55.0,M,Chesapeake VA,VA,185.0,375.0
209,209,9651,138.32,13.832,27.0,F,Akron OH,OH,2771.0,2782.0
210,210,8878,119.43,11.943,45.0,F,Baltimore MD,MD,492.0,554.0
211,211,1674,76.77,7.677,26.0,M,Betheda MD,MD,404.0,1457.0
212,212,5563,100.6,10.06,26.0,F,Bethesda MD,MD,1716.0,2782.0
213,213,8650,117.17,11.717,32.0,F,Baltimore MD,MD,1957.0,2228.0
214,214,6488,104.25,10.425,38.0,F,Kensington MD,MD,875.0,1367.0
215,215,5152,96.28,9.628,50.0,M,Durham NC,NC,342.0,483.0
216,216,3662,93.98,9.398,50.0,F,Phoenixville PA,PA,119.0,397.0
217,217,8736,117.85,11.785,35.0,F,Alexandria VA,VA,1207.0,1367.0
218,218,8742,117.9,11.79,28.0,F,Alexandria VA,VA,2570.0,2782.0
219,219,5680,100.08,10.008,57.0,M,Bonfield IL,IL,271.0,375.0
220,220,4385,91.7,9.17,39.0,M,Quincy MA,MA,680.0,1093.0
221,221,2764,83.15,8.315,33.0,M,Falls Church VA,VA,614.0,1490.0
222,222,5381,97.72,9.772,32.0,M,New York NY,NY,1152.0,1490.0
223,223,1328,83.53,8.353,26.0,F,Long Beach NY,NY,431.0,2782.0
224,224,8239,114.02,11.402,37.0,F,Washington DC,DC,1131.0,1367.0
225,225,1341,83.63,8.363,41.0,F,Washington DC,DC,130.0,974.0
226,226,4302,91.18,9.118,24.0,M,Washington DC,DC,221.0,347.0
227,227,776,69.92,6.992000000000001,45.0,M,Alexandria VA,VA,60.0,648.0
228,228,6977,120.42,12.042,32.0,M,Alexandria VA,VA,1448.0,1490.0
229,229,7066,106.88,10.688,28.0,F,Washington DC,DC,2152.0,2782.0
230,230,5797,100.93,10.093,32.0,M,Arlington VA,VA,1237.0,1490.0
231,231,2195,79.67,7.967,38.0,M,Springfield VA,VA,320.0,1093.0
232,232,6251,105.75,10.575,44.0,M,Arlington VA,VA,812.0,931.0
233,233,3348,92.87,9.287,41.0,F,Reston VA,VA,313.0,974.0
234,234,6511,109.15,10.915,40.0,M,Sterling VA,VA,849.0,931.0
235,235,4318,96.2,9.62,28.0,F,Lake Village MN,MN,1332.0,2782.0
236,236,4313,96.2,9.62,35.0,F,Jamaica Plain MA,MA,576.0,1367.0
237,237,2068,87.57,8.757,26.0,F,Wilmington DE,DE,664.0,2782.0
238,238,7169,138.4,13.84,39.0,M,Waldorf MD,MD,1090.0,1093.0
239,239,362,74.48,7.447999999999999,28.0,F,Arlington VA,VA,125.0,2782.0
240,240,5113,96.02,9.602,38.0,M,Glen Burnie MD,MD,791.0,1093.0
241,241,2457,89.15,8.915,29.0,F,Washington DC,DC,775.0,2782.0
242,242,7995,112.2,11.22,38.0,F,Raleigh NC,NC,1090.0,1367.0
243,243,2379,80.83,8.083,31.0,M,Fairfax VA,VA,518.0,1490.0
244,244,6923,118.83,11.883,56.0,M,Reston VA,VA,351.0,375.0
245,245,3519,87.03,8.703,41.0,M,Alexandria VA,VA,450.0,931.0
246,246,7151,134.78,13.478,30.0,M,Brooklyn NY,NY,1484.0,1490.0
247,247,2213,79.82,7.982,31.0,M,Washington DC,DC,482.0,1490.0
248,248,481,76.0,7.6,32.0,F,Washington DC,DC,110.0,2228.0
249,249,8532,116.0,11.6,31.0,F,Washington DC,DC,1935.0,2228.0
250,250,5514,100.45,10.045,31.0,F,Washington DC,DC,1224.0,2228.0
251,251,8363,114.78,11.478,42.0,F,Highland MD,MD,821.0,974.0
252,252,656,78.03,7.803,29.0,F,Baltimore MD,MD,221.0,2782.0
253,253,2871,90.93,9.093,21.0,F,Frederick MD,MD,364.0,974.0
254,254,893,80.28,8.027999999999999,29.0,F,Washington DC,DC,290.0,2782.0
255,255,1814,77.63,7.763,52.0,M,Oakton VA,VA,106.0,483.0
256,256,9679,140.08,14.008,37.0,F,Richmond VA,VA,1355.0,1367.0
257,257,1117,82.05,8.205,32.0,F,Fairfax Station VA,VA,245.0,2228.0
258,258,6215,105.23,10.523,34.0,M,Washington DC,DC,1314.0,1490.0
259,259,8385,115.03,11.503,25.0,F,Bristow VA,VA,2477.0,2782.0
260,260,1540,84.92,8.492,28.0,F,Washington DC,DC,495.0,2782.0
261,261,5285,97.13,9.713,28.0,M,Washington DC,DC,1124.0,1457.0
262,262,4632,93.03,9.303,34.0,M,Falls Church VA,VA,990.0,1490.0
263,263,5930,101.98,10.198,28.0,F,Gaithersburg MD,MD,1812.0,2782.0
264,264,4512,96.95,9.695,25.0,F,Germantown MD,MD,1395.0,2782.0
265,265,2750,83.07,8.307,15.0,M,Glen Echo MD,MD,36.0,66.0
266,266,1074,72.6,7.26,35.0,M,Arlington VA,VA,157.0,1093.0
267,267,5380,99.93,9.993,35.0,F,Fredericksburg VA,VA,723.0,1367.0
268,268,3142,92.03,9.203,26.0,F,Cape May NJ,NJ,989.0,2782.0
269,269,2825,83.5,8.35,35.0,M,Laurel MD,MD,417.0,1093.0
270,270,1037,72.28,7.228,41.0,M,Greenbelt MD,MD,108.0,931.0
271,271,1816,77.65,7.765,50.0,M,Westminster MD,MD,107.0,483.0
272,272,6357,107.13,10.713,30.0,M,Philadelphia PA,PA,1336.0,1490.0
273,273,2820,83.45,8.345,39.0,M,Arlington VA,VA,415.0,1093.0
274,274,4973,95.08,9.508,26.0,M,Arlington VA,VA,1070.0,1457.0
275,275,3201,85.45,8.545,27.0,M,Derwood MD,MD,714.0,1457.0
276,276,4282,91.05,9.105,32.0,M,Linthicum Heights MD,MD,925.0,1490.0
277,277,3017,84.58,8.458,23.0,M,Washington DC,DC,166.0,347.0
278,278,754,79.08,7.907999999999999,47.0,F,Ellicott City MD,MD,38.0,554.0
279,279,5637,100.87,10.087,33.0,F,Columbia MD,MD,1253.0,2228.0
280,280,463,66.5,6.65,40.0,M,Washington DC,DC,41.0,931.0
281,281,1585,85.17,8.517000000000001,59.0,F,Silver Spring MD,MD,15.0,236.0
282,282,7459,108.77,10.877,25.0,F,Washington DC,DC,2255.0,2782.0
283,283,6209,105.18,10.518,60.0,M,Columbia MD,MD,147.0,196.0
284,284,799,70.17,7.017,41.0,M,Fort Washington MD,MD,84.0,931.0
285,285,2307,80.33,8.033,41.0,M,Washington DC,DC,292.0,931.0
286,286,5349,97.5,9.75,32.0,M,Centreville VA,VA,1147.0,1490.0
287,287,2576,82.05,8.205,52.0,M,White Hall MD,MD,159.0,483.0
288,288,2200,79.72,7.972,26.0,M,Arlington VA,VA,526.0,1457.0
289,289,3682,87.83,8.783,30.0,M,Charlotte NC,NC,812.0,1490.0
290,290,3766,88.25,8.825,32.0,M,Hyattsville MD,MD,832.0,1490.0
291,291,2186,79.65,7.965,38.0,M,Cockeysville MD,MD,317.0,1093.0
292,292,9134,122.87,12.287,28.0,F,Fairfax VA,VA,2661.0,2782.0
293,293,5439,98.08,9.808,33.0,M,Washington DC,DC,1167.0,1490.0
294,294,1239,82.87,8.287,31.0,F,Falls Church VA,VA,275.0,2228.0
295,295,4140,95.72,9.572,54.0,F,Fairport NY,NY,135.0,397.0
296,296,1649,76.62,7.662000000000001,39.0,M,Glen Echo MD,MD,238.0,1093.0
297,297,1977,78.45,7.845,37.0,M,Arlington VA,VA,290.0,1093.0
298,298,839,70.53,7.053,26.0,M,Falls Church VA,VA,206.0,1457.0
299,299,8257,114.08,11.408,42.0,F,Washington DC,DC,812.0,974.0
300,300,4008,95.22,9.522,39.0,F,Washington DC,DC,537.0,1367.0
301,301,1577,76.13,7.612999999999999,41.0,M,Annville PA,PA,188.0,931.0
302,302,996,81.17,8.117,32.0,F,Washington DC,DC,221.0,2228.0
303,303,480,75.97,7.597,20.0,F,Glen Burnie MD,MD,68.0,974.0
304,304,6237,105.55,10.555,42.0,M,Washington DC,DC,809.0,931.0
305,305,9280,125.85,12.585,29.0,F,Fairfax VA,VA,2691.0,2782.0
306,306,2931,84.13,8.413,36.0,M,Sykesville MD,MD,437.0,1093.0
307,307,6325,103.67,10.367,29.0,F,McLean VA,VA,1929.0,2782.0
308,308,1138,73.1,7.31,37.0,M,Arlington VA,VA,173.0,1093.0
309,309,6654,111.77,11.177,47.0,M,Washington DC,DC,599.0,648.0
310,310,2345,80.6,8.06,43.0,M,Falls Church VA,VA,300.0,931.0
311,311,3212,85.5,8.55,58.0,M,Rockville MD,MD,125.0,375.0
312,312,6785,105.47,10.547,29.0,F,Silver Spring DC,DC,2073.0,2782.0
313,313,4767,97.7,9.77,36.0,F,Alexandria VA,VA,637.0,1367.0
314,314,4439,91.98,9.198,38.0,M,Rockville MD,MD,685.0,1093.0
315,315,1030,81.37,8.137,26.0,F,Washington DC,DC,335.0,2782.0
316,316,1381,74.95,7.495,34.0,M,Arlington VA,VA,335.0,1490.0
317,317,5877,101.72,10.172,31.0,M,Lovettsville VA,VA,1254.0,1490.0
318,318,8903,119.72,11.972,29.0,F,Falls Church VA,VA,2607.0,2782.0
319,319,3182,92.22,9.222,55.0,F,Fort Belvoir VA,VA,47.0,236.0
320,320,3844,94.67,9.467,34.0,F,Yorktown Hts NY,NY,836.0,2228.0
321,321,5189,96.47,9.647,25.0,M,Washington DC,DC,1109.0,1457.0
322,322,6736,113.6,11.36,26.0,M,Potomac MD,MD,1383.0,1457.0
323,323,9594,134.88,13.488,30.0,F,Fairfax VA,VA,2195.0,2228.0
324,324,7003,106.53,10.653,27.0,F,Alexandria VA,VA,2133.0,2782.0
325,325,8636,117.07,11.707,33.0,F,Alexandria VA,VA,1954.0,2228.0
326,326,6291,103.52,10.352,28.0,F,Washington DC,DC,1918.0,2782.0
327,327,5790,101.43,10.143,37.0,F,Bel Air MD,MD,778.0,1367.0
328,328,4446,92.05,9.205,30.0,M,Washington DC,DC,963.0,1490.0
329,329,5456,100.18,10.018,33.0,F,Winchester VA,VA,1211.0,2228.0
330,330,9175,123.57,12.357,48.0,F,Alexandria VA,VA,512.0,554.0
331,331,4872,94.6,9.46,33.0,M,Washington DC,DC,1044.0,1490.0
332,332,6627,111.4,11.14,36.0,M,Washington DC,DC,1008.0,1093.0
333,333,6283,103.48,10.348,30.0,F,Alexandria VA,VA,1407.0,2228.0
334,334,1280,74.2,7.42,31.0,M,Alexandria VA,VA,307.0,1490.0
335,335,6034,103.2,10.32,22.0,M,Washington DC,DC,312.0,347.0
336,336,150,69.17,6.917000000000002,28.0,F,Washington DC,DC,60.0,2782.0
337,337,2600,82.22,8.222000000000001,36.0,M,Arlington VA,VA,374.0,1093.0
338,338,2465,89.18,8.918,28.0,F,Durham NC,NC,778.0,2782.0
339,339,8899,119.67,11.967,38.0,F,Reisterstown MD,MD,1232.0,1367.0
340,340,9218,124.35,12.435,32.0,F,Washington DC,DC,2087.0,2228.0
341,341,2927,84.08,8.408,42.0,M,Bethesda MD,MD,381.0,931.0
342,342,1798,86.28,8.628,26.0,F,Washington DC,DC,575.0,2782.0
