age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,target
57,blue-collar,married,primary,0,249,1,0,5,may,2.73,1,-1,0,unknown,no
33,services,married,secondary,0,790,1,0,5,may,6.52,1,-1,0,unknown,no
51,management,married,tertiary,0,6530,1,0,5,may,1.52,1,-1,0,unknown,no
60,retired,married,tertiary,0,100,0,0,5,may,8.8,1,-1,0,unknown,no
59,management,divorced,tertiary,0,59,1,0,5,may,4.55,1,-1,0,unknown,no
55,technician,married,secondary,0,1205,1,0,5,may,2.63,2,-1,0,unknown,no
57,blue-collar,married,secondary,0,5935,1,1,5,may,4.3,1,-1,0,unknown,no
31,services,married,secondary,0,25,1,1,5,may,2.87,1,-1,0,unknown,no
54,management,married,secondary,0,282,1,1,5,may,2.57,1,-1,0,unknown,no
55,blue-collar,married,primary,0,23,1,0,5,may,4.85,1,-1,0,unknown,no
43,technician,married,secondary,0,1937,1,0,5,may,3.02,1,-1,0,unknown,no
53,technician,married,secondary,0,384,1,0,5,may,2.93,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,582,0,1,5,may,3.52,1,-1,0,unknown,no
55,services,divorced,secondary,0,91,0,0,5,may,5.82,1,-1,0,unknown,no
49,services,divorced,secondary,0,0,1,1,5,may,4.53,1,-1,0,unknown,no
55,services,divorced,secondary,1,1,1,0,5,may,3.47,1,-1,0,unknown,no
45,admin.,single,secondary,0,206,1,0,5,may,3.22,1,-1,0,unknown,no
47,services,divorced,secondary,0,164,0,0,5,may,3.53,1,-1,0,unknown,no
42,technician,single,secondary,0,690,1,0,5,may,0.33,1,-1,0,unknown,no
59,admin.,married,secondary,0,2343,1,0,5,may,17.37,1,-1,0,unknown,yes
46,self-employed,married,tertiary,0,137,1,1,5,may,4.1,1,-1,0,unknown,no
51,blue-collar,married,primary,0,173,1,0,5,may,8.82,2,-1,0,unknown,no
56,admin.,married,secondary,0,45,0,0,5,may,24.45,1,-1,0,unknown,yes
41,technician,married,secondary,0,1270,1,0,5,may,23.15,1,-1,0,unknown,yes
46,management,divorced,secondary,0,16,1,1,5,may,3.13,2,-1,0,unknown,no
57,retired,married,secondary,0,486,1,0,5,may,3,2,-1,0,unknown,no
42,management,single,secondary,0,50,0,0,5,may,0.8,1,-1,0,unknown,no
30,technician,married,secondary,0,152,1,1,5,may,3.55,2,-1,0,unknown,no
60,admin.,married,secondary,0,290,1,0,5,may,9.72,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,0,-37,0,0,5,may,2.88,1,-1,0,unknown,no
36,management,married,tertiary,0,101,1,1,5,may,7.1,1,-1,0,unknown,no
55,blue-collar,married,secondary,0,383,0,0,5,may,4.78,1,-1,0,unknown,no
60,retired,married,tertiary,0,81,1,0,5,may,1.68,1,-1,0,unknown,no
39,technician,married,secondary,0,0,1,0,5,may,3.38,1,-1,0,unknown,no
46,management,married,tertiary,0,229,1,0,5,may,3.28,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,-674,1,0,5,may,4.28,1,-1,0,unknown,no
53,blue-collar,married,primary,0,90,0,0,5,may,2.07,1,-1,0,unknown,no
52,blue-collar,married,primary,0,128,1,0,5,may,3.82,1,-1,0,unknown,no
59,blue-collar,married,primary,0,179,1,0,5,may,0.92,3,-1,0,unknown,no
27,technician,single,tertiary,0,0,1,0,5,may,6.67,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,54,1,0,5,may,3.28,1,-1,0,unknown,no
47,technician,married,tertiary,0,151,1,0,5,may,3.17,1,-1,0,unknown,no
34,admin.,married,secondary,0,61,0,1,5,may,0.35,1,-1,0,unknown,no
59,retired,single,secondary,0,30,1,0,5,may,8.57,1,-1,0,unknown,no
45,management,married,tertiary,0,523,1,0,5,may,14.15,2,-1,0,unknown,no
29,services,divorced,secondary,0,31,1,0,5,may,3.23,1,-1,0,unknown,no
46,technician,divorced,secondary,0,79,0,0,5,may,2.4,1,-1,0,unknown,no
56,self-employed,married,primary,0,-34,1,1,5,may,3.53,2,-1,0,unknown,no
36,blue-collar,married,primary,0,448,1,0,5,may,4.77,1,-1,0,unknown,no
59,retired,divorced,primary,0,81,1,0,5,may,1.78,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,144,1,0,5,may,4.12,2,-1,0,unknown,no
41,admin.,married,secondary,0,351,1,0,5,may,8.63,1,-1,0,unknown,no
33,management,single,tertiary,0,-67,1,0,5,may,6.07,1,-1,0,unknown,no
59,management,divorced,tertiary,0,262,0,0,5,may,2.97,1,-1,0,unknown,no
57,technician,married,primary,0,0,0,0,5,may,1.63,1,-1,0,unknown,no
51,blue-collar,married,secondary,0,26,1,0,5,may,1.32,1,-1,0,unknown,no
43,services,married,secondary,0,41,1,1,5,may,2.12,2,-1,0,unknown,no
52,technician,married,tertiary,0,7,0,1,5,may,2.92,1,-1,0,unknown,no
33,technician,single,secondary,0,105,1,0,5,may,4.37,2,-1,0,unknown,no
29,admin.,single,secondary,0,818,1,1,5,may,1.02,1,-1,0,unknown,no
34,services,married,secondary,0,-16,1,1,5,may,1.3,1,-1,0,unknown,no
31,blue-collar,married,secondary,0,0,1,0,5,may,2.38,1,-1,0,unknown,no
55,services,married,secondary,0,2476,1,0,5,may,9.65,1,-1,0,unknown,yes
32,admin.,single,secondary,0,217,1,0,5,may,5.75,1,-1,0,unknown,no
38,technician,single,secondary,0,1685,1,0,5,may,3.08,1,-1,0,unknown,no
55,admin.,single,secondary,0,802,1,1,5,may,1.67,2,-1,0,unknown,no
28,unemployed,single,tertiary,0,0,1,0,5,may,2.08,2,-1,0,unknown,no
23,blue-collar,married,secondary,0,94,1,0,5,may,3.22,1,-1,0,unknown,no
32,technician,single,secondary,0,0,1,0,5,may,2.27,1,-1,0,unknown,no
32,blue-collar,married,secondary,0,517,1,0,5,may,8.8,1,-1,0,unknown,no
46,blue-collar,married,secondary,0,265,1,0,5,may,9.02,1,-1,0,unknown,no
53,housemaid,divorced,primary,0,947,1,0,5,may,2.72,1,-1,0,unknown,no
34,self-employed,single,secondary,0,3,1,0,5,may,5.02,1,-1,0,unknown,no
57,unemployed,married,tertiary,0,42,0,0,5,may,0.77,1,-1,0,unknown,no
37,blue-collar,married,secondary,0,37,1,0,5,may,3.4,1,-1,0,unknown,no
59,blue-collar,married,secondary,0,57,1,0,5,may,1.63,1,-1,0,unknown,no
33,services,married,secondary,0,22,1,0,5,may,1.18,1,-1,0,unknown,no
56,blue-collar,divorced,primary,0,8,1,0,5,may,2.62,2,-1,0,unknown,no
48,unemployed,married,secondary,0,293,1,0,5,may,4.05,1,-1,0,unknown,no
43,services,married,primary,0,3,1,0,5,may,3.1,2,-1,0,unknown,no
54,blue-collar,married,primary,0,348,1,0,5,may,9.65,2,-1,0,unknown,no
26,student,single,secondary,0,0,1,0,5,may,10.17,2,-1,0,unknown,no
40,management,married,tertiary,0,-4,1,0,5,may,33.88,1,-1,0,unknown,no
39,management,married,secondary,0,18,1,0,5,may,1.42,1,-1,0,unknown,no
50,technician,married,primary,0,139,0,0,5,may,1.9,2,-1,0,unknown,no
41,services,married,secondary,0,0,1,0,5,may,1.9,2,-1,0,unknown,no
60,retired,divorced,secondary,0,216,1,0,5,may,3.97,1,-1,0,unknown,no
52,blue-collar,married,secondary,0,782,1,0,5,may,1.55,3,-1,0,unknown,no
48,blue-collar,married,secondary,0,904,1,0,5,may,2.13,2,-1,0,unknown,no
39,technician,single,tertiary,0,47,1,0,5,may,3.02,1,-1,0,unknown,no
47,services,single,secondary,0,176,1,0,5,may,5.05,2,-1,0,unknown,no
40,blue-collar,married,secondary,0,1225,1,0,5,may,9.3,5,-1,0,unknown,no
45,technician,married,secondary,0,86,1,0,5,may,4.5,1,-1,0,unknown,no
26,admin.,single,secondary,0,82,1,0,5,may,3.8,1,-1,0,unknown,no
52,management,married,tertiary,0,271,1,0,5,may,1.65,1,-1,0,unknown,no
54,technician,married,secondary,0,1378,1,0,5,may,4,1,-1,0,unknown,no
54,admin.,married,tertiary,0,184,0,0,5,may,11.22,2,-1,0,unknown,yes
50,blue-collar,married,primary,0,0,0,0,5,may,3.88,3,-1,0,unknown,no
35,blue-collar,married,secondary,0,0,1,0,5,may,17.6,1,-1,0,unknown,no
44,services,married,secondary,0,1357,1,1,5,may,4.17,1,-1,0,unknown,no
35,retired,single,primary,0,434,0,0,5,may,2.3,1,-1,0,unknown,no
60,admin.,divorced,secondary,0,92,1,0,5,may,2.17,1,-1,0,unknown,no
53,admin.,divorced,secondary,0,1151,1,0,5,may,6.87,1,-1,0,unknown,no
48,unemployed,married,secondary,0,41,1,0,5,may,2.98,2,-1,0,unknown,no
34,technician,married,secondary,0,51,1,0,5,may,0.32,2,-1,0,unknown,no
54,services,married,secondary,0,214,1,0,5,may,7.63,2,-1,0,unknown,no
51,management,married,secondary,0,1161,1,0,5,may,11.95,1,-1,0,unknown,no
31,services,married,tertiary,0,37,1,0,5,may,5.22,1,-1,0,unknown,no
35,technician,divorced,secondary,0,787,1,0,5,may,11.38,2,-1,0,unknown,no
35,services,married,secondary,0,59,1,0,5,may,17.95,1,-1,0,unknown,no
38,technician,married,secondary,0,253,1,0,5,may,6.93,1,-1,0,unknown,no
36,admin.,married,tertiary,0,211,1,0,5,may,2.43,2,-1,0,unknown,no
58,retired,married,primary,0,235,1,0,5,may,2.78,1,-1,0,unknown,no
54,management,married,secondary,0,4080,0,0,5,may,2.33,1,-1,0,unknown,no
34,blue-collar,single,secondary,0,53,1,1,5,may,5.77,1,-1,0,unknown,no
31,management,single,tertiary,0,0,1,0,5,may,9.37,1,-1,0,unknown,no
51,retired,married,secondary,0,2127,1,0,5,may,2.87,1,-1,0,unknown,no
33,management,married,tertiary,0,377,1,0,5,may,3.62,1,-1,0,unknown,no
55,management,married,tertiary,0,73,1,0,5,may,2.37,2,-1,0,unknown,no
42,admin.,married,secondary,0,445,1,0,5,may,1.12,1,-1,0,unknown,no
34,blue-collar,married,secondary,0,243,1,0,5,may,4.85,1,-1,0,unknown,no
33,blue-collar,single,secondary,0,307,1,0,5,may,5.15,2,-1,0,unknown,no
38,services,married,secondary,0,155,1,0,5,may,4.13,1,-1,0,unknown,no
50,technician,divorced,tertiary,0,173,0,1,5,may,1.63,1,-1,0,unknown,no
43,management,married,tertiary,0,400,1,0,5,may,4.27,1,-1,0,unknown,no
61,blue-collar,divorced,primary,0,1428,1,0,5,may,1.37,2,-1,0,unknown,no
47,admin.,married,secondary,0,219,1,0,5,may,9.62,1,-1,0,unknown,no
48,self-employed,married,tertiary,0,7,1,0,5,may,4.77,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,575,1,0,5,may,7.95,1,-1,0,unknown,no
35,services,married,secondary,0,0,1,0,5,may,7.85,1,-1,0,unknown,no
50,services,married,secondary,0,5699,1,0,5,may,6.35,2,-1,0,unknown,no
41,management,married,tertiary,0,176,1,1,5,may,0.7,1,-1,0,unknown,no
41,management,married,tertiary,0,517,1,0,5,may,4.18,1,-1,0,unknown,no
42,retired,married,secondary,0,56,1,0,5,may,3.58,1,-1,0,unknown,no
38,blue-collar,married,secondary,0,-390,1,0,5,may,4.78,1,-1,0,unknown,no
53,retired,married,secondary,0,330,1,0,5,may,3.6,2,-1,0,unknown,no
59,housemaid,divorced,primary,0,195,0,0,5,may,6.1,2,-1,0,unknown,no
36,services,married,secondary,0,301,1,0,5,may,3.5,1,-1,0,unknown,no
54,blue-collar,married,primary,0,-41,1,0,5,may,4.8,1,-1,0,unknown,no
40,technician,married,tertiary,0,483,1,0,5,may,2.8,1,-1,0,unknown,no
46,housemaid,married,primary,0,965,0,0,5,may,2.95,1,-1,0,unknown,no
39,management,married,tertiary,0,378,1,1,5,may,2.12,2,-1,0,unknown,no
40,unemployed,married,secondary,0,219,1,0,5,may,5.95,1,-1,0,unknown,no
28,blue-collar,married,primary,0,324,1,0,5,may,2.92,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,0,-69,1,0,5,may,5,1,-1,0,unknown,no
55,retired,married,secondary,0,0,0,1,5,may,2.27,1,-1,0,unknown,no
48,blue-collar,married,primary,0,278,1,0,5,may,2.08,2,-1,0,unknown,no
33,management,single,tertiary,0,34,1,0,5,may,0.45,1,-1,0,unknown,no
53,services,divorced,secondary,0,1467,1,0,5,may,2.07,1,-1,0,unknown,no
47,blue-collar,married,primary,0,-12,1,0,5,may,0.3,1,-1,0,unknown,no
31,services,married,secondary,0,388,1,0,5,may,12.17,2,-1,0,unknown,no
57,entrepreneur,married,secondary,0,294,1,0,5,may,12.43,2,-1,0,unknown,no
55,blue-collar,married,primary,0,627,1,0,5,may,4.12,1,-1,0,unknown,no
45,blue-collar,married,primary,0,25,1,0,5,may,0.67,1,-1,0,unknown,no
53,admin.,divorced,secondary,0,315,1,0,5,may,3.02,2,-1,0,unknown,no
37,blue-collar,married,primary,0,0,1,0,5,may,1.32,1,-1,0,unknown,no
44,admin.,divorced,secondary,0,66,1,0,5,may,3.43,1,-1,0,unknown,no
49,blue-collar,divorced,primary,0,-9,1,1,5,may,6.48,1,-1,0,unknown,no
46,technician,married,secondary,0,349,1,1,5,may,2.12,1,-1,0,unknown,no
38,admin.,married,secondary,0,0,0,0,5,may,2.52,1,-1,0,unknown,no
43,technician,married,secondary,0,434,1,0,5,may,1.95,1,-1,0,unknown,no
49,management,married,tertiary,0,3237,1,0,5,may,3.87,3,-1,0,unknown,no
22,blue-collar,single,secondary,0,0,1,0,5,may,2.98,2,-1,0,unknown,no
40,management,married,tertiary,0,207,1,0,5,may,0.65,1,-1,0,unknown,no
39,blue-collar,married,secondary,0,483,1,0,5,may,4.7,1,-1,0,unknown,no
51,services,married,secondary,0,2248,1,0,5,may,11.9,2,-1,0,unknown,no
49,admin.,married,secondary,0,428,1,0,5,may,0.83,1,-1,0,unknown,no
53,blue-collar,married,secondary,0,0,1,1,5,may,3.02,1,-1,0,unknown,no
34,services,single,secondary,0,0,1,0,5,may,2.37,1,-1,0,unknown,no
33,technician,divorced,secondary,0,140,1,0,5,may,3.78,1,-1,0,unknown,no
50,management,single,tertiary,0,297,1,0,5,may,1.98,1,-1,0,unknown,no
39,blue-collar,married,primary,0,279,1,0,5,may,6.02,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,0,901,1,0,5,may,1.22,3,-1,0,unknown,no
30,technician,single,secondary,0,2573,1,0,5,may,1.12,2,-1,0,unknown,no
36,services,married,secondary,0,143,1,1,5,may,5.83,1,-1,0,unknown,no
40,blue-collar,married,secondary,0,475,1,0,5,may,5.53,2,-1,0,unknown,no
53,blue-collar,married,secondary,0,70,1,0,5,may,10.18,2,-1,0,unknown,no
34,management,single,tertiary,0,318,1,0,5,may,1.88,2,-1,0,unknown,no
37,technician,married,secondary,0,275,1,0,5,may,2.2,1,-1,0,unknown,no
42,management,divorced,tertiary,0,742,1,0,5,may,0.97,3,-1,0,unknown,no
41,entrepreneur,married,primary,0,236,1,0,5,may,2.52,1,-1,0,unknown,no
30,student,single,tertiary,0,25,1,0,5,may,1.48,2,-1,0,unknown,no
37,management,single,tertiary,0,600,1,0,5,may,2.53,1,-1,0,unknown,no
39,admin.,divorced,secondary,0,-349,1,0,5,may,10.18,2,-1,0,unknown,no
41,blue-collar,married,primary,0,183,1,1,5,may,1.83,2,-1,0,unknown,no
40,blue-collar,married,primary,0,0,1,0,5,may,7.72,1,-1,0,unknown,no
42,management,single,tertiary,0,0,1,1,5,may,9.37,2,-1,0,unknown,yes
40,blue-collar,divorced,primary,0,0,1,0,5,may,16.03,1,-1,0,unknown,no
57,technician,married,secondary,0,1078,1,0,5,may,0.17,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,0,155,0,0,5,may,1.97,3,-1,0,unknown,no
37,admin.,married,secondary,0,190,1,0,5,may,1.53,2,-1,0,unknown,no
59,retired,married,secondary,0,319,1,0,5,may,2.38,3,-1,0,unknown,no
39,services,divorced,secondary,0,-185,1,0,5,may,3.15,3,-1,0,unknown,no
49,services,married,secondary,0,47,0,0,5,may,3.9,2,-1,0,unknown,no
38,services,single,secondary,0,570,1,0,5,may,1.25,2,-1,0,unknown,no
36,self-employed,married,tertiary,0,19,0,0,5,may,3.15,2,-1,0,unknown,no
50,blue-collar,married,primary,0,61,1,0,5,may,10.35,3,-1,0,unknown,no
41,admin.,married,secondary,0,-62,1,1,5,may,0.92,2,-1,0,unknown,no
54,technician,married,tertiary,0,258,0,0,5,may,5.17,4,-1,0,unknown,no
58,blue-collar,married,primary,0,76,1,0,5,may,2.6,2,-1,0,unknown,no
33,admin.,single,secondary,0,352,1,0,5,may,3.75,2,-1,0,unknown,no
47,admin.,married,secondary,0,368,1,0,5,may,2.08,2,-1,0,unknown,no
32,blue-collar,married,secondary,0,1331,1,0,5,may,4.77,2,-1,0,unknown,no
40,self-employed,married,secondary,0,672,1,0,5,may,2.73,2,-1,0,unknown,no
37,management,married,tertiary,0,58,1,0,5,may,1.63,2,-1,0,unknown,no
24,student,single,secondary,0,423,1,0,5,may,3.77,3,-1,0,unknown,no
54,management,married,tertiary,0,0,0,0,5,may,2,2,-1,0,unknown,no
34,technician,married,secondary,0,19,1,0,5,may,6.03,4,-1,0,unknown,no
56,technician,divorced,primary,0,13,1,0,5,may,5.95,2,-1,0,unknown,no
31,blue-collar,single,secondary,0,3,1,0,5,may,3.33,2,-1,0,unknown,no
24,student,single,secondary,0,82,1,0,5,may,3.4,2,-1,0,unknown,no
42,blue-collar,divorced,primary,0,28,1,0,5,may,2.1,3,-1,0,unknown,no
57,technician,married,secondary,0,792,1,0,5,may,1.08,2,-1,0,unknown,no
51,admin.,married,secondary,0,531,1,0,5,may,4.45,2,-1,0,unknown,no
57,retired,married,secondary,0,211,1,0,5,may,4.13,2,-1,0,unknown,no
36,services,single,secondary,0,62,1,0,5,may,3.58,2,-1,0,unknown,no
50,technician,married,secondary,0,1234,1,0,5,may,3.42,2,-1,0,unknown,no
54,management,married,tertiary,0,313,1,0,5,may,1.38,2,-1,0,unknown,no
55,blue-collar,married,secondary,0,89,1,0,5,may,1.77,3,-1,0,unknown,no
44,blue-collar,married,secondary,0,129,1,1,5,may,3.15,2,-1,0,unknown,no
56,admin.,married,secondary,0,353,1,0,5,may,1.77,2,-1,0,unknown,no
55,services,divorced,primary,0,96,1,1,5,may,5.18,2,-1,0,unknown,no
37,services,divorced,secondary,0,398,1,1,5,may,3.57,2,-1,0,unknown,no
33,admin.,single,tertiary,0,193,0,0,5,may,2.2,2,-1,0,unknown,no
46,admin.,married,secondary,0,-358,1,0,5,may,5.97,2,-1,0,unknown,no
36,blue-collar,married,secondary,0,539,1,1,5,may,7.55,2,-1,0,unknown,no
51,technician,single,secondary,0,0,1,0,5,may,6.07,2,-1,0,unknown,no
40,retired,single,primary,0,0,0,0,5,may,2.27,2,-1,0,unknown,no
42,blue-collar,married,secondary,0,490,1,0,5,may,6.43,2,-1,0,unknown,no
51,blue-collar,married,secondary,0,0,1,0,5,may,2.88,2,-1,0,unknown,no
48,management,married,secondary,0,161,1,0,5,may,3.73,3,-1,0,unknown,no
32,technician,divorced,tertiary,0,2558,0,0,5,may,2.47,2,-1,0,unknown,no
31,admin.,single,secondary,0,98,1,0,5,may,3.27,2,-1,0,unknown,no
55,management,single,tertiary,0,115,0,0,5,may,1.85,4,-1,0,unknown,no
40,blue-collar,single,secondary,0,436,1,0,5,may,3.85,3,-1,0,unknown,no
47,technician,married,tertiary,0,831,1,0,5,may,5.27,3,-1,0,unknown,no
41,blue-collar,married,secondary,0,290,1,0,5,may,4,2,-1,0,unknown,no
48,blue-collar,married,secondary,0,1,0,0,5,may,11.15,3,-1,0,unknown,no
30,blue-collar,single,secondary,0,-457,1,0,5,may,2.38,2,-1,0,unknown,no
58,management,single,tertiary,0,1387,1,0,5,may,2.9,5,-1,0,unknown,no
49,blue-collar,married,secondary,0,30,1,0,5,may,2.25,4,-1,0,unknown,no
42,admin.,single,secondary,0,1022,1,0,5,may,2.43,2,-1,0,unknown,no
53,technician,married,secondary,0,56,1,1,5,may,2.53,2,-1,0,unknown,no
51,admin.,single,secondary,1,-2,0,0,5,may,6.7,3,-1,0,unknown,no
32,services,single,secondary,0,121,1,0,5,may,3.55,2,-1,0,unknown,no
41,blue-collar,single,secondary,0,842,1,0,5,may,2.4,3,-1,0,unknown,no
43,management,divorced,secondary,0,693,1,0,5,may,2.07,3,-1,0,unknown,no
40,blue-collar,divorced,secondary,0,-333,1,0,5,may,3.05,2,-1,0,unknown,no
50,blue-collar,married,primary,0,1533,1,0,5,may,5.42,2,-1,0,unknown,no
34,management,married,tertiary,0,46,1,0,5,may,0.65,4,-1,0,unknown,no
45,technician,married,secondary,0,44,1,0,5,may,1.58,4,-1,0,unknown,no
39,blue-collar,married,primary,0,-100,1,0,5,may,11.33,2,-1,0,unknown,no
44,services,married,tertiary,0,510,1,0,5,may,7.02,4,-1,0,unknown,no
55,management,married,tertiary,0,685,1,0,5,may,2.9,3,-1,0,unknown,no
46,management,single,tertiary,0,187,1,0,5,may,1.88,2,-1,0,unknown,no
45,blue-collar,married,secondary,0,66,1,0,5,may,13.47,2,-1,0,unknown,no
34,admin.,married,secondary,0,560,1,0,5,may,3.3,3,-1,0,unknown,no
36,blue-collar,married,secondary,0,0,1,0,5,may,3.25,2,-1,0,unknown,no
31,admin.,single,secondary,0,12,1,0,5,may,3.47,2,-1,0,unknown,no
44,blue-collar,single,secondary,0,34,1,0,5,may,6.73,4,-1,0,unknown,no
33,entrepreneur,single,tertiary,0,1068,1,0,5,may,6.6,2,-1,0,unknown,no
40,blue-collar,married,secondary,0,211,1,0,5,may,3.6,4,-1,0,unknown,no
46,admin.,single,tertiary,0,377,1,0,5,may,1.63,2,-1,0,unknown,no
48,management,married,tertiary,0,263,1,0,5,may,5.83,2,-1,0,unknown,no
42,services,married,secondary,0,1263,1,0,6,may,1.9,2,-1,0,unknown,no
27,services,married,secondary,0,8,1,0,6,may,1.47,3,-1,0,unknown,no
48,admin.,married,secondary,0,126,1,1,6,may,6.32,2,-1,0,unknown,no
59,admin.,married,secondary,0,230,1,0,6,may,3.17,3,-1,0,unknown,no
46,technician,married,tertiary,0,841,1,0,6,may,2.63,1,-1,0,unknown,no
38,admin.,divorced,secondary,0,308,1,0,6,may,1.7,1,-1,0,unknown,no
43,management,divorced,tertiary,0,1,1,0,6,may,5.1,1,-1,0,unknown,no
38,admin.,divorced,tertiary,0,86,1,0,6,may,3.63,1,-1,0,unknown,no
23,student,single,secondary,0,157,1,0,6,may,0.9,1,-1,0,unknown,no
34,services,married,secondary,0,22,1,0,6,may,5.73,1,-1,0,unknown,no
38,admin.,married,secondary,0,46,1,1,6,may,3.25,1,-1,0,unknown,no
37,blue-collar,married,secondary,0,1293,0,0,6,may,10.87,1,-1,0,unknown,no
25,admin.,single,secondary,0,122,1,0,6,may,4.77,1,-1,0,unknown,no
49,blue-collar,single,secondary,0,143,1,0,6,may,1.38,1,-1,0,unknown,no
38,admin.,single,secondary,0,393,0,0,6,may,3.07,2,-1,0,unknown,no
43,blue-collar,married,primary,0,98,1,0,6,may,3.92,1,-1,0,unknown,no
33,management,married,tertiary,0,0,1,0,6,may,4.83,1,-1,0,unknown,no
55,blue-collar,married,secondary,0,224,1,0,6,may,3.87,1,-1,0,unknown,no
38,blue-collar,married,secondary,0,757,1,0,6,may,2.22,1,-1,0,unknown,no
